state,response,coverage,education,effective_to_date,employment_status,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,Month,Day
Arizona,No,Extended,Bachelor,2011-01-31,Unemployed,F,Suburban,Single,Personal Auto,L3,3,Agent,Four-Door Car,Medsize,January,Monday
Nevada,No,Premium,Bachelor,2011-02-19,Employed,F,Suburban,Married,Personal Auto,L3,1,Agent,Two-Door Car,Medsize,February,Saturday
California,No,Basic,Bachelor,2011-01-20,Unemployed,M,Suburban,Married,Corporate Auto,L2,1,Call Center,SUV,Medsize,January,Thursday
Washington,No,Basic,Bachelor,2011-02-03,Employed,M,Rural,Single,Personal Auto,L1,1,Agent,Four-Door Car,Medsize,February,Thursday
Oregon,Yes,Basic,Bachelor,2011-01-25,Employed,F,Rural,Married,Personal Auto,L3,2,Web,Two-Door Car,Medsize,January,Tuesday
Oregon,Yes,Basic,College,2011-02-24,Employed,F,Suburban,Married,Corporate Auto,L3,1,Agent,Four-Door Car,Medsize,February,Thursday
Arizona,No,Premium,Master or above,2011-01-18,Unemployed,M,Urban,Single,Corporate Auto,L3,1,Agent,Four-Door Car,Medsize,January,Tuesday
Oregon,Yes,Basic,Bachelor,2011-01-26,Medical Leave,M,Suburban,Divorced,Corporate Auto,L3,1,Agent,Four-Door Car,Medsize,January,Wednesday
Oregon,No,Extended,College,2011-02-17,Employed,F,Urban,Married,Special Auto,L2,2,Branch,Four-Door Car,Medsize,February,Thursday
California,No,Basic,College,2011-02-21,Unemployed,M,Suburban,Single,Personal Auto,L3,1,Agent,Four-Door Car,Small,February,Monday
California,No,Basic,College,2011-01-06,Unemployed,F,Suburban,Married,Personal Auto,L3,2,Agent,SUV,Medsize,January,Thursday
California,No,Premium,Master or above,2011-02-06,Employed,M,Urban,Married,Corporate Auto,L1,2,Agent,Four-Door Car,Medsize,February,Sunday
Arizona,Yes,Basic,High School or Below,2011-01-10,Employed,M,Suburban,Married,Corporate Auto,L3,2,Branch,SUV,Medsize,January,Monday
California,No,Basic,College,2011-01-18,Employed,M,Urban,Single,Corporate Auto,L3,4,Call Center,Four-Door Car,Medsize,January,Tuesday
Oregon,No,Basic,Bachelor,2011-01-17,Employed,F,Rural,Married,Corporate Auto,L2,2,Branch,Four-Door Car,Medsize,January,Monday
Nevada,No,Basic,High School or Below,2011-02-06,Medical Leave,M,Suburban,Married,Personal Auto,L3,2,Call Center,Two-Door Car,Medsize,February,Sunday
California,No,Basic,College,2011-01-05,Medical Leave,M,Suburban,Married,Personal Auto,L2,3,Call Center,SUV,Medsize,January,Wednesday
Oregon,No,Basic,College,2011-02-27,Employed,M,Urban,Married,Personal Auto,L2,2,Branch,Four-Door Car,Medsize,February,Sunday
California,No,Premium,High School or Below,2011-01-14,Employed,F,Suburban,Married,Corporate Auto,L2,1,Call Center,Four-Door Car,Small,January,Friday
Oregon,No,Basic,High School or Below,2011-02-19,Employed,M,Suburban,Single,Personal Auto,L2,1,Branch,Two-Door Car,Medsize,February,Saturday
Washington,No,Extended,Bachelor,2011-01-21,Disabled,F,Suburban,Divorced,Personal Auto,L3,4,Call Center,Four-Door Car,Medsize,January,Friday
Arizona,Yes,Basic,Bachelor,2011-01-26,Medical Leave,M,Suburban,Divorced,Personal Auto,L3,1,Agent,Four-Door Car,Medsize,January,Wednesday
Nevada,No,Basic,Bachelor,2011-02-24,Unemployed,F,Suburban,Single,Corporate Auto,L3,1,Branch,Four-Door Car,Medsize,February,Thursday
California,No,Basic,Bachelor,2011-02-05,Disabled,F,Suburban,Married,Corporate Auto,L2,2,Branch,Four-Door Car,Medsize,February,Saturday
Oregon,No,Basic,College,2011-01-29,Employed,M,Suburban,Married,Personal Auto,L3,2,Call Center,Four-Door Car,Large,January,Saturday
California,No,Premium,Bachelor,2011-02-28,Unemployed,F,Suburban,Single,Personal Auto,L3,1,Agent,Four-Door Car,Small,February,Monday
Oregon,No,Extended,Master or above,2011-02-07,Employed,F,Suburban,Married,Personal Auto,L3,2,Branch,Four-Door Car,Small,February,Monday
Arizona,No,Basic,College,2011-02-28,Employed,M,Suburban,Married,Personal Auto,L2,4,Call Center,Four-Door Car,Small,February,Monday
Nevada,No,Extended,High School or Below,2011-01-22,Employed,M,Urban,Married,Corporate Auto,L2,2,Agent,Luxury Car/SUV,Medsize,January,Saturday
California,No,Basic,Bachelor,2011-01-25,Unemployed,M,Urban,Married,Personal Auto,L3,1,Call Center,Four-Door Car,Medsize,January,Tuesday
Washington,No,Basic,Bachelor,2011-01-18,Employed,M,Suburban,Married,Corporate Auto,L2,1,Agent,Two-Door Car,Small,January,Tuesday
